,Caesars Entertainment Inc,,,,,
Date,Open,High,Low,Close,Volume,SIP
"04,30,2021",88.54,97.97,86.41,93.64,28177164,4.477
"03,31,2021",96,106.2,79.91,87.45,118019392,4.477
"02,26,2021",70.67,94.43,69.9,93.44,37428868,4.509
"01,29,2021",74.62,82.34,66.34,70.39,48601864,4.579
"12,31,2020",69.79,78.16,65.89,74.27,47082900,5.51
"11,30,2020",45.55,74.92,44.57,68.12,72167416,5.345
"10,30,2020",56.44,58,43.07,44.82,81354296,4.997
"09,30,2020",45.85,60.08,45.36,56.06,129265592,5.509
"08,31,2020",30.67,49.67,30.25,45.8,103500496,6.999
"07,31,2020",40.65,43.27,29.06,31.05,198319616,11.265
"06,30,2020",35.69,47.18,33,40.06,199641424,17.682
"05,29,2020",19.72,37.53,16.91,35.46,176997696,28.238
"04,30,2020",13.68,24.31,9.57,21.44,164366912,31.164
"03,31,2020",50.15,50.2,6.02,14.4,190111312,27.974
"02,28,2020",60.29,70.74,46.7,50.18,41123340,26.753
"01,31,2020",60.26,61.55,56.97,59.78,30534260,26.656
"12,31,2019",53.46,59.92,51.39,59.64,24879988,23.871
"11,29,2019",45.02,54.46,44.33,53.51,28257414,21.551
"10,31,2019",39.91,45.45,37.95,44.77,33124552,21.009
"09,30,2019",37.55,43.98,35.41,39.87,34514780,19.864
"08,30,2019",45.15,46.31,36.2,38.51,31205868,21.749
"07,31,2019",47.29,49.93,43.41,45.12,38196280,19.949
"06,28,2019",48.81,54.99,43.04,46.07,51054940,16.375
"05,31,2019",49.77,50.88,45.41,49.17,15062280,8.572
"04,30,2019",47.22,51.67,46.96,49.37,11875220,7.172
"03,29,2019",48.41,51.05,43.76,46.69,19108468,9.719
"02,28,2019",46.66,50.97,44.89,48.21,14501684,9.1
"01,31,2019",35.43,46.68,34.64,46.62,19718196,10.268
"12,31,2018",44.77,45.58,31.86,36.21,19954704,11.901
"11,30,2018",36.43,44.29,32.78,43.98,31028050,12.441
"10,31,2018",48.98,50.64,31.96,36.5,37116844,9.801
"09,28,2018",48.2,49.85,44.95,48.6,17794316,17.428
"08,31,2018",42.7,50,40.3,48.05,37128396,16.271
"07,31,2018",39.1,46.85,38.2,42.85,15976087,11.156
"06,29,2018",45.35,46.45,38.65,39.1,19057202,13.788
"05,31,2018",40.7,45.95,39.29,45.2,15822115,15.516
"04,30,2018",32.95,43.15,31.8,40.5,15275659,15.491
"03,30,2018",34.15,38.45,31.25,33,16973800,14.838
"02,28,2018",34.45,35.3,29.16,34.1,15563915,14.279
"01,31,2018",33.3,35.15,31.2,34.55,13679784,13.31
"12,29,2017",30.5,34.03,30.1,33.15,16180054,14.117
"11,30,2017",25.7,30.7,25.3,30.6,20069704,14.422
"10,31,2017",25.55,27.15,23.95,25.7,18238630,14.375
"09,29,2017",23.15,25.98,22.85,25.65,20241628,11.842
"08,31,2017",20.6,23.5,19.8,23,19418478,9.562
"07,31,2017",20.1,21.05,18.8,20.4,12114477,8.683
"06,30,2017",20.8,21.83,19.5,20,15338142,8.181
"05,31,2017",19.2,21.15,18.05,20.75,22542628,7.288
"04,28,2017",18.8,19.75,17.3,19.13,12603305,8.518
"03,31,2017",16.45,19.85,16.4,18.92,12491069,7.234
"02,28,2017",15.55,16.8,15.1,16.3,5003126,10.962
"01,31,2017",17.1,17.5,14.9,15.5,6831978,12.452
"12,30,2016",13.75,17,13.65,16.95,9806502,12.252
"11,30,2016",12.05,14,10.65,13.75,9547627,10.786
"10,31,2016",14.04,14.37,11.85,12.1,6331585,10.048
"09,30,2016",13.93,15.2,13.31,14.06,12108551,6.829
"08,31,2016",14.46,15,13.34,13.96,5636341,2.103
"07,29,2016",15.2,15.6,14.28,14.45,2554105,2.186
"06,30,2016",14.78,15.37,13.45,15.19,6562583,2.533
"05,31,2016",13.15,15,12.51,14.9,5096724,2.266
"04,29,2016",11.41,13.3,11.05,13.11,5428597,1.76
"03,31,2016",10.06,11.65,9.5,11.44,8381209,1.356
"02,29,2016",10.3,10.97,8.94,10.01,2936050,1.986
"01,29,2016",10.85,11.25,9.6,10.32,4005682,1.799
