,Nasdaq Composite,,,,
Date,Open,High,Low,Close,Volume
"04,30,2021",13414.33008,14062.5,13404.17969,14052.33984,
"03,31,2021",13406.16016,13620.70996,12397.0498,13246.87012,
"02,26,2021",13226.17969,14175.12012,13003.98047,13192.33984,
"01,29,2021",12958.51953,13728.98047,12543.24023,13070.7002,
"12,31,2020",12313.36035,12973.33008,12214.74023,12888.28027,
"11,30,2020",11010.4502,12244.63965,10830.9502,12198.74023,
"10,30,2020",11291.99023,11965.54004,10822.57031,10911.58984,
"09,30,2020",11850.95996,12074.07031,10519.49023,11167.50977,
"08,31,2020",10848.63965,11829.83984,10762.70996,11775.45996,
"07,31,2020",10063.66992,10839.92969,10048.04004,10745.28027,
"06,30,2020",9471.41992,10221.84961,9403,10058.75977,
"05,29,2020",8681.29004,9523.63965,8537.83008,9489.87012,
"04,30,2020",7459.5,8957.25977,7288.10986,8889.5498,
"03,31,2020",8667.13965,9070.32031,6631.41992,7700.1001,
"02,28,2020",9190.71973,9838.37012,8264.16016,8567.37012,
"01,31,2020",9039.45996,9451.42969,8943.5,9150.94043,
"12,31,2019",8672.83984,9052,8435.40039,8972.59961,
"11,29,2019",8335.0498,8705.91016,8326.55957,8665.46973,
"10,31,2019",8026.83008,8335.55957,7700,8292.36035,
"09,30,2019",7906.43994,8243.7998,7847.31982,7999.33984,
"08,30,2019",8190.56006,8311.04004,7662.8999,7962.87988,
"07,31,2019",8145.8501,8339.63965,8059.29004,8175.41992,
"06,28,2019",7441.22021,8088.87988,7292.22021,8006.24023,
"05,31,2019",8132.93018,8164.70996,7448.22998,7453.1499,
"04,30,2019",7800.24023,8176.08008,7777.1001,8095.39014,
"03,29,2019",7587.4502,7850.1001,7332.91992,7729.31982,
"02,28,2019",7256.37012,7602.68994,7225.14014,7532.52979,
"01,31,2019",6506.91016,7303.12012,6457.12988,7281.74023,
"12,31,2018",7486.12988,7486.50977,6190.16992,6635.27979,
"11,30,2018",7327.81982,7572.93018,6830.75977,7330.54004,
"10,31,2018",8091.5,8107.37988,6922.83008,7305.8999,
"09,28,2018",8087.9502,8104.06982,7873.93018,8046.3501,
"08,31,2018",7701.81982,8133.2998,7659.52002,8109.54004,
"07,31,2018",7451.8999,7933.31006,7443.1001,7671.79004,
"06,29,2018",7487.66016,7806.6001,7419.56006,7510.2998,
"05,31,2018",7053.6499,7492.41992,6991.14014,7442.12012,
"04,30,2018",7016.16992,7319.58008,6805.95996,7066.27002,
"03,30,2018",7274.75,7637.27002,6901.06982,7063.43994,
"02,28,2018",7377.16992,7441.08984,6630.66992,7273.00977,
"01,31,2018",6937.6499,7505.77002,6924.08008,7411.47998,
"12,29,2017",6844.04004,7003.89014,6734.12988,6903.39014,
"11,30,2017",6758.64014,6914.18994,6667.31006,6873.97021,
"10,31,2017",6506.08008,6737.75,6484.14014,6727.66992,
"09,29,2017",6442.16992,6497.97998,6334.58984,6495.95996,
"08,31,2017",6372.16016,6435.27002,6177.18994,6428.66016,
"07,31,2017",6173.29004,6460.83984,6081.95996,6348.12012,
"06,30,2017",6215.91016,6341.7002,6087.81006,6140.41992,
"05,31,2017",6067.56006,6221.99023,5996.81006,6198.52002,
"04,28,2017",5917.31982,6074.04004,5805.1499,6047.60986,
"03,31,2017",5874.85986,5928.06006,5769.39014,5911.74023,
"02,28,2017",5654.50977,5867.89014,5616.3999,5825.43994,
"01,31,2017",5425.62012,5669.60986,5397.99023,5614.79004,
"12,30,2016",5323.87988,5512.37012,5238.20996,5383.12012,
"11,30,2016",5199.77002,5403.85986,5034.41016,5323.68018,
"10,31,2016",5300.29004,5340.52002,5169.75977,5189.12988,
"09,30,2016",5218.27979,5342.87988,5097.7998,5312,
"08,31,2016",5167.41992,5275.74023,5109.7998,5213.22021,
"07,29,2016",4837.18018,5175.81006,4786.00977,5162.12988,
"06,30,2016",4928.97021,4980.14014,4574.25,4842.66992,
"05,31,2016",4786.5498,4951.4502,4678.37988,4948.0498,
"04,29,2016",4842.5498,4969.31982,4740.83984,4775.35986,
"03,31,2016",4596.00977,4899.14014,4581.75,4869.8501,
"02,29,2016",4587.58984,4636.93018,4209.75977,4557.9502,
"01,29,2016",4897.6499,4926.72998,4313.39014,4613.9502,
"12,31,2015",5129.64014,5176.77002,4871.58984,5007.41016,
"11,30,2015",5065.64014,5163.47021,4908.66016,5108.66992,
"10,30,2015",4624.45996,5095.68994,4552.33984,5053.75,
"09,30,2015",4673.60986,4960.87012,4487.06006,4620.16016,
"08,31,2015",5134.33984,5175.25977,4292.14014,4776.50977,
"07,31,2015",5029.0498,5231.93994,4901.50977,5128.27979,
"06,30,2015",5094.93994,5164.35986,4956.22998,4986.87012,
"05,29,2015",4966.31982,5111.54004,4888.16992,5070.02979,
"04,30,2015",4894.35986,5119.83008,4844.39014,4941.41992,
"03,31,2015",4973.43018,5042.14014,4825.93018,4900.87988,
"02,27,2015",4650.6001,4989.25,4580.45996,4963.52979,
"01,30,2015",4760.24023,4777.00977,4563.10986,4635.24023,
