,Northrop Grumman Corporation,,,,,
Date,Open,High,Low,Close,Volume,SIP
"04,30,2021",323.04001,347.82001,321.31,346.42999,10695051,2.39
"03,31,2021",292.54999,326.14999,292.54999,323.64001,25663312,2.39
"02,26,2021",288.42999,306.64999,287.60001,291.66,22562852,3.341
"01,29,2021",304.07001,308.84,282.88,286.60999,24789950,1.373
"12,31,2020",304.17999,309.87,292.76001,304.72,20116172,1.022
"11,30,2020",294.48001,324.26001,292.73999,302.26001,18158590,1.05
"10,30,2020",317.35001,322.47,285.13,289.82001,23762226,1.133
"09,30,2020",340.16,352.12,312.25,315.48999,13390747,0.765
"08,31,2020",324.57999,349.23001,320.85999,342.60999,13581908,0.954
"07,31,2020",308.87,329.45999,285.48999,325.01001,22612072,0.877
"06,30,2020",335.63,349.26999,294,307.44,22325948,0.874
"05,29,2020",326.95999,348.78,307.32999,335.20001,17211196,0.685
"04,30,2020",293.85001,357.12,290.60999,330.67001,19904846,1.027
"03,31,2020",330.45999,347.98999,263.31,302.54999,35859304,1.261
"02,28,2020",367.32999,374.39001,313.98001,328.84,20587588,0.957
"01,31,2020",344.44,385.01001,343.62,374.57001,22436420,1.122
"12,31,2019",351.76999,352.98999,338.01001,343.97,18193504,1.205
"11,29,2019",353.35001,359.82999,335.94,351.76999,19358544,1.031
"10,31,2019",375.97,377.09,340.20001,352.48001,25116756,0.85
"09,30,2019",364.64999,383.89001,341.23999,374.79001,22576064,1.323
"08,30,2019",345.26999,377.34,334.95999,367.87,17100784,1.224
"07,31,2019",325,358.95999,317.88,345.57001,17273112,1.286
"06,28,2019",303.01001,324.92999,298.23001,323.10999,16646058,1.197
"05,31,2019",289.94,317.5,284.56,303.25,21777580,1.3
"04,30,2019",271.13,294.92001,264.5,289.91,19168818,1.053
"03,29,2019",291,291.35001,263.29001,269.60001,19829208,1.103
"02,28,2019",276.91,291.54999,272.54001,289.95999,16947644,1.259
"01,31,2019",241.17,284.54999,237.08,275.54999,24031704,1.561
"12,31,2018",262.41,279.03,223.63,244.89999,32756228,1.647
"11,30,2018",263.47,288.54001,254.84,259.88,31140632,2.311
"10,31,2018",318.04999,321.72,251.66,261.95001,31492978,2.992
"09,28,2018",297.67999,319.10001,295.76001,317.37,23805994,1.432
"08,31,2018",300,301.45999,289.29999,298.48999,24380028,1.213
"07,31,2018",306.44,325.28,287.09,300.48999,26729160,1.067
"06,29,2018",327.64001,340.14001,303.01999,307.70001,21739632,0.875
"05,31,2018",322.20999,333.92999,302.35001,327.25,29987780,1.084
"04,30,2018",349.25,360.88,318.01001,322.04001,22341816,0.868
"03,30,2018",351.12,358.5,334.39999,349.12,20984198,1.131
