,Select Sector Spdr Trust (The) (Financial),,,,
Date,Open,High,Low,Close,Volume
"04,30,2021",34,35.85,34,35.8,796352320
"03,31,2021",32.86,35.29,32.6,34.05,1679521920
"02,26,2021",29.27,33.84,29.02,32.31,1088387840
"01,29,2021",29.59,31.62,28.82,28.95,1178326656
"12,31,2020",28.4,29.52,28.11,29.48,932297152
"11,30,2020",24.26,28.69,23.96,27.88,1328332544
"10,30,2020",24.17,25.59,23.25,23.86,1232721024
"09,30,2020",24.93,26.01,22.94,24.07,1328926592
"08,31,2020",24.13,25.77,23.87,25.06,980980928
"07,31,2020",23.24,24.49,22.49,24.03,1292220032
"06,30,2020",23.5,26.83,22.52,23.14,2028175616
"05,29,2020",22.25,24.34,20.08,23.41,1390845824
"04,30,2020",19.72,23.66,19.35,22.79,1534163072
"03,31,2020",26.64,28.25,17.49,20.82,3049441024
"02,28,2020",30.17,31.38,25.97,26.59,1130890240
"01,31,2020",30.89,31.1,29.75,29.96,843368064
"12,31,2019",30.2,31.04,29.35,30.78,819288960
"11,29,2019",28.92,30.24,28.86,30.15,768848704
"10,31,2019",28.13,29,26.45,28.7,1153884672
"09,30,2019",26.7,28.67,26.41,28,1106624896
"08,30,2019",28.23,28.42,25.92,26.92,1330845696
"07,31,2019",27.92,28.72,27.71,28.25,824704192
"06,28,2019",25.97,27.7,25.92,27.6,919707264
"05,31,2019",28.05,28.14,25.99,26.01,1038602944
"04,30,2019",25.92,28.13,25.91,28.02,1070041280
"03,29,2019",26.75,27.1,25.08,25.71,1288232832
"02,28,2019",25.98,26.82,25.34,26.52,803710144
"01,31,2019",23.47,26.17,23.4,25.94,1217941376
"12,31,2018",27.36,27.47,22.05,23.82,1769455744
"11,30,2018",26.35,27.52,25.92,26.97,1284573952
"10,31,2018",27.74,28.34,25.02,26.28,1957365504
"09,28,2018",28.27,29.07,27.54,27.58,894246464
"08,31,2018",28.13,28.72,27.61,28.33,998461824
"07,31,2018",26.37,28.35,26.35,27.95,1196216320
"06,29,2018",27.51,28.27,26.31,26.59,1276044928
"05,31,2018",27.39,28.5,26.46,27.18,1062360704
"04,30,2018",27.57,28.24,26.55,27.45,1240636288
"03,30,2018",28.88,29.81,26.77,27.57,1305445376
"02,28,2018",29.68,30.05,26.76,28.87,1511800064
"01,31,2018",28.09,30.33,27.79,29.74,1103144960
"12,29,2017",27.56,28.33,26.95,27.91,1323395584
"11,30,2017",26.71,27.88,25.86,27.52,1220998656
"10,31,2017",25.81,26.92,25.81,26.6,1074611328
"09,29,2017",24.73,25.86,23.79,25.86,1169102592
"08,31,2017",25.26,25.59,24.35,24.7,1089018880
"07,31,2017",24.81,25.32,24.59,25.09,1112275712
"06,30,2017",23.38,25.02,23.22,24.67,1693869568
"05,31,2017",23.65,24.07,22.97,23.25,1506492928
